origin,dest,period,m_ijt,P_i_t,P_j_t,D_ij,PSR_i_t,PSR_j_t,IMR_i_t,IMR_j_t,urban_i_t,urban_j_t,LA_i,LA_j,LL_i,LL_j,LB_ij,OL_ij,COL_ij
533,784,2010,1,100000.0,6940000.0,12735.012,4.424657534246576,25.806451612903224,18.0,8.6,43.1,84.1,193,83657,0.0,0.0,0,0,0
533,32,2010,1,100000.0,41290000.0,5396.2197,4.424657534246576,4.124137931034483,18.0,15.2,43.1,90.8,193,2766889,0.0,0.0,0,1,0
533,28,2010,1,100000.0,90000.0,1024.9948,4.424657534246576,6.257142857142857,18.0,11.9,43.1,26.2,193,442,0.0,0.0,0,0,0
533,36,2010,10,100000.0,22140000.0,15354.32,4.424657534246576,3.280423280423281,18.0,4.8,43.1,85.2,193,7686848,0.0,0.0,0,0,0
533,36,2010,10,100000.0,22140000.0,15354.32,4.424657534246576,3.280423280423281,18.0,4.8,43.1,85.2,193,7686848,0.0,0.0,0,0,0
533,40,2010,1,100000.0,8369999.999999999,8719.13,4.424657534246576,2.6724137931034484,18.0,4.7,43.1,57.4,193,83858,0.0,1.0,0,0,0
533,56,2010,6,100000.0,10940000.0,7847.0703,4.424657534246576,2.6130434782608694,18.0,4.4,43.1,97.7,193,33114,0.0,0.0,0,1,0
533,100,2010,1,100000.0,7440000.0,9348.039,4.424657534246576,2.4189723320158105,18.0,10.9,43.1,72.3,193,110994,0.0,0.0,0,0,0
533,44,2010,1,100000.0,370000.0,1588.5146,4.424657534246576,4.9,18.0,15.4,43.1,82.4,193,13939,0.0,0.0,0,0,0
533,68,2010,1,100000.0,10180000.0,3560.6838,4.424657534246576,7.303797468354429,18.0,61.7,43.1,66.4,193,1098581,0.0,1.0,0,1,0
533,68,2010,1,100000.0,10180000.0,3560.6838,4.424657534246576,7.303797468354429,18.0,61.7,43.1,66.4,193,1098581,0.0,1.0,0,1,0
533,76,2010,1,100000.0,193700000.0,3988.9146,4.424657534246576,6.529999999999999,18.0,18.9,43.1,84.3,193,8511920,0.0,0.0,0,0,0
533,76,2010,1,100000.0,193700000.0,3988.9146,4.424657534246576,6.529999999999999,18.0,18.9,43.1,84.3,193,8511920,0.0,0.0,0,0,0
533,52,2010,1,100000.0,280000.0,1139.2405,4.424657534246576,3.80722891566265,18.0,14.4,43.1,31.9,193,431,0.0,0.0,0,0,0
533,124,2010,149,100000.0,34200000.0,3696.783,4.424657534246576,3.1909547738693473,18.0,5.8,43.1,80.9,193,9976139,0.0,0.0,0,0,0
533,124,2010,149,100000.0,34200000.0,3696.783,4.424657534246576,3.1909547738693473,18.0,5.8,43.1,80.9,193,9976139,0.0,0.0,0,0,0
533,756,2010,3,100000.0,7830000.0,8056.332,4.424657534246576,2.7356828193832596,18.0,4.4,43.1,73.6,193,41288,0.0,1.0,0,0,0
533,152,2010,5,100000.0,17180000.0,5125.68,4.424657534246576,4.5673758865248235,18.0,9.1,43.1,87.1,193,756945,0.0,0.0,0,1,0
533,156,2010,124,100000.0,1351560000.0,14155.351,4.424657534246576,5.3671875,18.0,15.9,43.1,49.2,193,9572378,0.0,0.0,0,0,0
533,170,2010,1124,100000.0,44780000.0,1036.6342,4.424657534246576,7.146067415730337,18.0,18.5,43.1,78.0,193,1141748,0.0,0.0,0,1,0
533,188,2010,5,100000.0,4560000.0,1550.7723,4.424657534246576,6.018691588785046,18.0,10.4,43.1,71.7,193,51076,0.0,0.0,0,1,0
533,276,2010,7,100000.0,80830000.0,8474.606,4.424657534246576,2.319230769230769,18.0,4.2,43.1,77.0,193,357325,0.0,0.0,0,0,0
533,276,2010,7,100000.0,80830000.0,8474.606,4.424657534246576,2.319230769230769,18.0,4.2,43.1,77.0,193,357325,0.0,0.0,0,0,0
533,208,2010,2,100000.0,5550000.0,8408.59,4.424657534246576,2.5344827586206895,18.0,3.9,43.1,86.8,193,43094,0.0,0.0,0,0,0
